Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20060105  0:15,3.222,-9999,5.44,-9999
20060105  0:30,3.22,-9999,5.37,-9999
20060105  0:45,3.22,-9999,5.37,-9999
20060105  1:00,3.216,-9999,5.26,-9999
20060105  1:15,3.22,-9999,5.37,-9999
20060105  1:30,3.216,-9999,5.27,-9999
20060105  1:45,3.22,-9999,5.37,-9999
20060105  2:00,3.22,-9999,5.37,-9999
20060105  2:15,3.216,-9999,5.27,-9999
20060105  2:30,3.216,-9999,5.27,-9999
20060105  2:45,3.222,-9999,5.44,-9999
20060105  3:00,3.216,-9999,5.27,-9999
20060105  3:15,3.214,-9999,5.2,-9999
20060105  3:30,3.216,-9999,5.27,-9999
20060105  3:45,3.214,-9999,5.2,-9999
20060105  4:00,3.216,-9999,5.27,-9999
20060105  4:15,3.216,-9999,5.27,-9999
20060105  4:30,3.216,-9999,5.27,-9999
20060105  4:45,3.21,-9999,5.1,-9999
20060105  5:00,3.216,-9999,5.27,-9999
20060105  5:15,3.214,-9999,5.2,-9999
20060105  5:30,3.214,-9999,5.2,-9999
20060105  5:45,3.216,-9999,5.27,-9999
20060105  6:00,3.214,-9999,5.2,-9999
20060105  6:15,3.214,-9999,5.2,-9999
20060105  6:30,3.214,-9999,5.2,-9999
20060105  6:45,3.216,-9999,5.27,-9999
20060105  7:00,3.216,-9999,5.27,-9999
20060105  7:15,3.214,-9999,5.2,-9999
20060105  7:30,3.214,-9999,5.2,-9999
20060105  7:45,3.214,-9999,5.2,-9999
20060105  8:00,3.216,-9999,5.27,-9999
20060105  8:15,3.214,-9999,5.2,-9999
20060105  8:30,3.214,-9999,5.2,-9999
20060105  8:45,3.214,-9999,5.2,-9999
20060105  9:00,3.21,-9999,5.1,-9999
20060105  9:15,3.214,-9999,5.2,-9999
20060105  9:30,3.21,-9999,5.1,-9999
20060105  9:45,3.21,-9999,5.1,-9999
20060105 10:00,3.214,-9999,5.2,-9999
20060105 10:15,3.21,-9999,5.1,-9999
20060105 10:30,3.21,-9999,5.1,-9999
20060105 10:45,3.214,-9999,5.2,-9999
20060105 11:00,3.21,-9999,5.1,-9999
20060105 11:15,3.21,-9999,5.1,-9999
20060105 11:30,3.214,-9999,5.2,-9999
20060105 11:45,3.21,-9999,5.1,-9999
20060105 12:00,3.214,-9999,5.2,-9999
20060105 12:15,3.214,-9999,5.2,-9999
20060105 12:30,3.21,-9999,5.1,-9999
20060105 12:45,3.21,-9999,5.1,-9999
20060105 13:00,3.21,-9999,5.1,-9999
20060105 13:15,3.214,-9999,5.2,-9999
20060105 13:30,3.21,-9999,5.1,-9999
20060105 13:45,3.21,-9999,5.1,-9999
20060105 14:00,3.21,-9999,5.1,-9999
20060105 14:15,3.21,-9999,5.1,-9999
20060105 14:30,3.21,-9999,5.1,-9999
20060105 14:45,3.21,-9999,5.1,-9999
20060105 15:00,3.207,-9999,5,-9999
20060105 15:15,3.21,-9999,5.1,-9999
