\data
WCCLABTEMP ,20090103  2:30 ,15.99
WCCLABTEMP ,20090103  2:45 ,15.96
WCCLABTEMP ,20090103  3:00 ,15.92
WCCLABTEMP ,20090103  3:15 ,15.87
WCCLABTEMP ,20090103  3:30 ,15.84
WCCLABTEMP ,20090103  3:45 ,15.8
WCCLABTEMP ,20090103  4:00 ,15.77
WCCLABTEMP ,20090103  4:15 ,15.75
WCCLABTEMP ,20090103  4:30 ,15.75
WCCLABTEMP ,20090103  4:45 ,15.75
WCCLABTEMP ,20090103  5:00 ,15.77
WCCLABTEMP ,20090103  5:15 ,15.82
WCCLABTEMP ,20090103  5:30 ,15.84
WCCLABTEMP ,20090103  5:45 ,15.89
WCCLABTEMP ,20090103  6:00 ,15.94
WCCLABTEMP ,20090103  6:15 ,16.01
WCCLABTEMP ,20090103  6:30 ,16.08
WCCLABTEMP ,20090103  6:45 ,16.15
WCCLABTEMP ,20090103  7:00 ,16.23
WCCLABTEMP ,20090103  7:15 ,16.3
WCCLABTEMP ,20090103  7:30 ,16.34
WCCLABTEMP ,20090103  7:45 ,16.39
WCCLABTEMP ,20090103  8:00 ,16.46
WCCLABTEMP ,20090103  8:15 ,16.51
WCCLABTEMP ,20090103  8:30 ,16.58
WCCLABTEMP ,20090103  8:45 ,16.65
WCCLABTEMP ,20090103  9:00 ,16.7
WCCLABTEMP ,20090103  9:15 ,16.77
WCCLABTEMP ,20090103  9:30 ,16.82
WCCLABTEMP ,20090103  9:45 ,16.87
WCCLABTEMP ,20090103 10:00 ,16.89
WCCLABTEMP ,20090103 10:15 ,16.96
WCCLABTEMP ,20090103 10:30 ,17.01
WCCLABTEMP ,20090103 10:45 ,17.06
WCCLABTEMP ,20090103 11:00 ,17.13
WCCLABTEMP ,20090103 11:15 ,17.18
WCCLABTEMP ,20090103 11:30 ,17.23
WCCLABTEMP ,20090103 11:45 ,17.25
WCCLABTEMP ,20090103 12:00 ,17.3
WCCLABTEMP ,20090103 12:15 ,17.37
WCCLABTEMP ,20090103 12:30 ,17.37
WCCLABTEMP ,20090103 12:45 ,17.34
WCCLABTEMP ,20090103 13:00 ,17.34
WCCLABTEMP ,20090103 13:15 ,17.34
WCCLABTEMP ,20090103 13:30 ,17.32
WCCLABTEMP ,20090103 13:45 ,17.27
WCCLABTEMP ,20090103 14:00 ,17.23
WCCLABTEMP ,20090103 14:15 ,17.18
WCCLABTEMP ,20090103 14:30 ,17.11
WCCLABTEMP ,20090103 14:45 ,17.03
WCCLABTEMP ,20090103 15:00 ,16.94
WCCLABTEMP ,20090103 15:15 ,16.84
WCCLABTEMP ,20090103 15:30 ,16.75
WCCLABTEMP ,20090103 15:45 ,16.68
WCCLABTEMP ,20090103 16:00 ,16.58
WCCLABTEMP ,20090103 16:15 ,16.51
WCCLABTEMP ,20090103 16:30 ,16.42
WCCLABTEMP ,20090103 16:45 ,16.34
WCCLABTEMP ,20090103 17:00 ,16.27
WCCLABTEMP ,20090103 17:15 ,16.18
WCCLABTEMP ,20090103 17:30 ,16.11
WCCLABTEMP ,20090103 17:45 ,16.03
WCCLABTEMP ,20090103 18:00 ,15.96
WCCLABTEMP ,20090103 18:15 ,15.89
WCCLABTEMP ,20090103 18:30 ,15.82
WCCLABTEMP ,20090103 18:45 ,15.75
WCCLABTEMP ,20090103 19:00 ,15.7
WCCLABTEMP ,20090103 19:15 ,15.63
WCCLABTEMP ,20090103 19:30 ,15.56
WCCLABTEMP ,20090103 19:45 ,15.49
WCCLABTEMP ,20090103 20:00 ,15.41
WCCLABTEMP ,20090103 20:15 ,15.34
WCCLABTEMP ,20090103 20:30 ,15.29
WCCLABTEMP ,20090103 20:45 ,15.22
WCCLABTEMP ,20090103 21:00 ,15.15
WCCLABTEMP ,20090103 21:15 ,15.08
WCCLABTEMP ,20090103 21:30 ,15.01
WCCLABTEMP ,20090103 21:45 ,14.94
WCCLABTEMP ,20090103 22:00 ,14.86
WCCLABTEMP ,20090103 22:15 ,14.82
WCCLABTEMP ,20090103 22:30 ,14.75
WCCLABTEMP ,20090103 22:45 ,14.67
WCCLABTEMP ,20090103 23:00 ,14.6
WCCLABTEMP ,20090103 23:15 ,14.53
WCCLABTEMP ,20090103 23:30 ,14.48
WCCLABTEMP ,20090103 23:45 ,14.41
WCCLABTEMP ,20090104  0:00 ,14.34
WCCLABTEMP ,20090104  0:15 ,14.29
WCCLABTEMP ,20090104  0:30 ,14.27
WCCLABTEMP ,20090104  0:45 ,14.19
WCCLABTEMP ,20090104  1:00 ,14.15
WCCLABTEMP ,20090104  1:15 ,14.1
WCCLABTEMP ,20090104  1:30 ,14.05
WCCLABTEMP ,20090104  1:45 ,14
WCCLABTEMP ,20090104  2:00 ,13.95
WCCLABTEMP ,20090104  2:15 ,13.91
WCCLABTEMP ,20090104  2:30 ,13.83
WCCLABTEMP ,20090104  2:45 ,13.79
WCCLABTEMP ,20090104  3:00 ,13.74
WCCLABTEMP ,20090104  3:15 ,13.69
WCCLABTEMP ,20090104  3:30 ,13.64
WCCLABTEMP ,20090104  3:45 ,13.62
WCCLABTEMP ,20090104  4:00 ,13.57
WCCLABTEMP ,20090104  4:15 ,13.55
WCCLABTEMP ,20090104  4:30 ,13.55
WCCLABTEMP ,20090104  4:45 ,13.55
WCCLABTEMP ,20090104  5:00 ,13.57
WCCLABTEMP ,20090104  5:15 ,13.62
WCCLABTEMP ,20090104  5:30 ,13.67
WCCLABTEMP ,20090104  5:45 ,13.71
WCCLABTEMP ,20090104  6:00 ,13.79
WCCLABTEMP ,20090104  6:15 ,13.88
WCCLABTEMP ,20090104  6:30 ,13.95
WCCLABTEMP ,20090104  6:45 ,14.05
WCCLABTEMP ,20090104  7:00 ,14.17
WCCLABTEMP ,20090104  7:15 ,14.29
WCCLABTEMP ,20090104  7:30 ,14.43
WCCLABTEMP ,20090104  7:45 ,14.63
WCCLABTEMP ,20090104  8:00 ,14.79
WCCLABTEMP ,20090104  8:15 ,14.98
WCCLABTEMP ,20090104  8:30 ,15.15
WCCLABTEMP ,20090104  8:45 ,15.32
WCCLABTEMP ,20090104  9:00 ,15.51
WCCLABTEMP ,20090104  9:15 ,15.68
WCCLABTEMP ,20090104  9:30 ,15.82
WCCLABTEMP ,20090104  9:45 ,15.92
WCCLABTEMP ,20090104 10:00 ,16.06
WCCLABTEMP ,20090104 10:15 ,16.18
WCCLABTEMP ,20090104 10:30 ,16.3
WCCLABTEMP ,20090104 10:45 ,16.37
WCCLABTEMP ,20090104 11:00 ,16.49
WCCLABTEMP ,20090104 11:15 ,16.56
WCCLABTEMP ,20090104 11:30 ,16.61
WCCLABTEMP ,20090104 11:45 ,16.65
WCCLABTEMP ,20090104 12:00 ,16.68
WCCLABTEMP ,20090104 12:15 ,16.68
WCCLABTEMP ,20090104 12:30 ,16.7
WCCLABTEMP ,20090104 12:45 ,16.7
WCCLABTEMP ,20090104 13:00 ,16.68
WCCLABTEMP ,20090104 13:15 ,16.65
WCCLABTEMP ,20090104 13:30 ,16.65
WCCLABTEMP ,20090104 13:45 ,16.63
WCCLABTEMP ,20090104 14:00 ,16.61
WCCLABTEMP ,20090104 14:15 ,16.58
WCCLABTEMP ,20090104 14:30 ,16.53
WCCLABTEMP ,20090104 14:45 ,16.46
WCCLABTEMP ,20090104 15:00 ,16.42
WCCLABTEMP ,20090104 15:15 ,16.37
WCCLABTEMP ,20090104 15:30 ,16.32
WCCLABTEMP ,20090104 15:45 ,16.27
WCCLABTEMP ,20090104 16:00 ,16.25
WCCLABTEMP ,20090104 16:15 ,16.2
WCCLABTEMP ,20090104 16:30 ,16.18
WCCLABTEMP ,20090104 16:45 ,16.15
WCCLABTEMP ,20090104 17:00 ,16.13
WCCLABTEMP ,20090104 17:15 ,16.11
WCCLABTEMP ,20090104 17:30 ,16.13
WCCLABTEMP ,20090104 17:45 ,16.13
WCCLABTEMP ,20090104 18:00 ,16.08
WCCLABTEMP ,20090104 18:15 ,16.06
WCCLABTEMP ,20090104 18:30 ,16.03
WCCLABTEMP ,20090104 18:45 ,16.01
WCCLABTEMP ,20090104 19:00 ,15.99
WCCLABTEMP ,20090104 19:15 ,15.96
WCCLABTEMP ,20090104 19:30 ,15.96
WCCLABTEMP ,20090104 19:45 ,15.92
WCCLABTEMP ,20090104 20:00 ,15.89
WCCLABTEMP ,20090104 20:15 ,15.87
