Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19810103 13:30,-9999,2.76,-9999,1.55
19810103 13:45,-9999,2.76,-9999,1.55
19810103 14:00,-9999,2.76,-9999,1.55
19810103 14:15,-9999,2.76,-9999,1.55
19810103 14:30,-9999,2.76,-9999,1.55
19810103 14:45,-9999,2.76,-9999,1.55
19810103 15:00,-9999,2.76,-9999,1.55
19810103 15:15,-9999,2.76,-9999,1.55
19810103 15:30,-9999,2.76,-9999,1.55
19810103 15:45,-9999,2.76,-9999,1.55
19810103 16:00,-9999,2.76,-9999,1.55
19810103 16:15,-9999,2.76,-9999,1.55
19810103 16:30,-9999,2.76,-9999,1.55
19810103 16:45,-9999,2.76,-9999,1.55
19810103 17:00,-9999,2.76,-9999,1.55
19810103 17:15,-9999,2.76,-9999,1.55
19810103 17:30,-9999,2.76,-9999,1.55
19810103 17:45,-9999,2.76,-9999,1.55
19810103 18:00,-9999,2.76,-9999,1.55
19810103 18:15,-9999,2.76,-9999,1.55
19810103 18:30,-9999,2.76,-9999,1.55
19810103 18:45,-9999,2.76,-9999,1.55
19810103 19:00,-9999,2.76,-9999,1.55
19810103 19:15,-9999,2.76,-9999,1.55
19810103 19:30,-9999,2.76,-9999,1.55
19810103 19:45,-9999,2.76,-9999,1.55
19810103 20:00,-9999,2.76,-9999,1.55
19810103 20:15,-9999,2.76,-9999,1.55
19810103 20:30,-9999,2.76,-9999,1.55
19810103 20:45,-9999,2.76,-9999,1.55
19810103 21:00,-9999,2.76,-9999,1.55
19810103 21:15,-9999,2.76,-9999,1.55
19810103 21:30,-9999,2.76,-9999,1.55
19810103 21:45,-9999,2.76,-9999,1.55
19810103 22:00,-9999,2.76,-9999,1.55
19810103 22:15,-9999,2.76,-9999,1.55
19810103 22:30,-9999,2.76,-9999,1.55
19810103 22:45,-9999,2.76,-9999,1.55
19810103 23:00,-9999,2.76,-9999,1.55
19810103 23:15,-9999,2.76,-9999,1.55
19810103 23:30,-9999,2.76,-9999,1.55
19810103 23:45,-9999,2.76,-9999,1.55
19810104  0:00,-9999,2.76,-9999,1.55
19810104  0:15,-9999,2.76,-9999,1.55
19810104  0:30,-9999,2.76,-9999,1.55
19810104  0:45,-9999,2.76,-9999,1.55
19810104  1:00,-9999,2.76,-9999,1.55
19810104  1:15,-9999,2.76,-9999,1.55
19810104  1:30,-9999,2.76,-9999,1.55
19810104  1:45,-9999,2.76,-9999,1.55
19810104  2:00,2.75,-9999,1.49,-9999
19810104  2:15,-9999,2.75,-9999,1.49
19810104  2:30,-9999,2.75,-9999,1.49
19810104  2:45,-9999,2.75,-9999,1.49
